 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

        1.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        1.5000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        1.7500      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        1.8750      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        1.9375      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        2.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        3.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        4.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        5.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        6.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        7.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
